IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.42.177,443,443,true,FRA,Europe,Frankfurt,199,9.22
35.204.76.81,443,443,true,FRA,Europe,Frankfurt,176,9.22
34.65.236.103,443,443,true,FRA,Europe,Frankfurt,165,9.21
34.90.246.126,443,443,true,FRA,Europe,Frankfurt,177,9.21
34.90.29.94,443,443,true,FRA,Europe,Frankfurt,178,9.19
34.89.153.165,443,443,true,FRA,Europe,Frankfurt,173,9.16
34.141.36.146,443,443,true,AMS,Europe,Amsterdam,172,9.15
34.65.173.134,443,443,true,AMS,Europe,Amsterdam,178,9.12
34.154.45.210,443,443,true,FRA,Europe,Frankfurt,165,9.12
34.65.193.203,443,443,true,FRA,Europe,Frankfurt,179,9.11
34.116.248.189,443,443,true,FRA,Europe,Frankfurt,236,9.10
35.234.163.141,443,443,true,FRA,Europe,Frankfurt,180,9.08
34.91.79.42,443,443,true,AMS,Europe,Amsterdam,184,9.06
34.65.18.221,443,443,true,FRA,Europe,Frankfurt,164,9.05
34.65.148.104,443,443,true,FRA,Europe,Frankfurt,173,9.05
34.65.170.6,443,443,true,FRA,Europe,Frankfurt,177,9.05
34.89.158.195,443,443,true,FRA,Europe,Frankfurt,170,9.04
34.90.18.172,443,443,true,FRA,Europe,Frankfurt,181,9.04
34.65.205.103,443,443,true,FRA,Europe,Frankfurt,176,9.04
34.89.144.176,443,443,true,FRA,Europe,Frankfurt,172,9.03
34.65.253.40,443,443,true,FRA,Europe,Frankfurt,176,9.03
35.226.211.129,443,443,true,ORD,North America,Chicago,217,9.02
34.154.101.110,443,443,true,FRA,Europe,Frankfurt,181,9.01
34.29.228.169,443,443,true,ORD,North America,Chicago,205,9.01
34.123.83.237,443,443,true,ORD,North America,Chicago,214,9.01
34.123.83.237,443,443,true,ORD,North America,Chicago,204,9.01
34.41.252.92,443,443,true,ORD,North America,Chicago,204,9.00
34.41.252.92,443,443,true,ORD,North America,Chicago,205,9.00
35.224.40.99,443,443,true,ORD,North America,Chicago,205,8.99
34.72.146.82,443,443,true,ORD,North America,Chicago,207,8.99
34.130.195.13,443,443,true,YYZ,North America,Toronto,225,8.99
34.65.208.254,443,443,true,FRA,Europe,Frankfurt,177,8.98
34.85.249.51,443,443,true,IAD,North America,Ashburn,237,8.98
34.66.72.229,443,443,true,ORD,North America,Chicago,207,8.98
34.123.83.237,443,443,true,ORD,North America,Chicago,206,8.98
35.232.160.115,443,443,true,ORD,North America,Chicago,205,8.98
34.65.84.132,443,443,true,FRA,Europe,Frankfurt,176,8.97
34.69.150.180,443,443,true,ORD,North America,Chicago,206,8.96
34.34.32.193,443,443,true,FRA,Europe,Frankfurt,181,8.96
34.65.159.16,443,443,true,FRA,Europe,Frankfurt,174,8.96
34.65.198.178,443,443,true,FRA,Europe,Frankfurt,176,8.96
34.34.12.229,443,443,true,FRA,Europe,Frankfurt,178,8.95
35.204.103.176,443,443,true,FRA,Europe,Frankfurt,181,8.95
35.199.37.84,443,443,true,IAD,North America,Ashburn,210,8.95
34.122.12.237,443,443,true,ORD,North America,Chicago,205,8.95
34.145.145.76,443,443,true,IAD,North America,Ashburn,256,8.95
34.65.206.244,443,443,true,FRA,Europe,Frankfurt,179,8.93
34.69.150.180,443,443,true,ORD,North America,Chicago,209,8.93
34.89.128.165,443,443,true,FRA,Europe,Frankfurt,187,8.91
34.69.150.180,443,443,true,ORD,North America,Chicago,206,8.91
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,174,8.90
34.122.12.237,443,443,true,ORD,North America,Chicago,207,8.88
34.154.20.63,443,443,true,CDG,Europe,Paris,180,8.88
34.65.101.209,443,443,true,EWR,North America,Newark,197,8.88
34.65.208.254,443,443,true,FRA,Europe,Frankfurt,174,8.87
34.141.60.8,443,443,true,FRA,Europe,Frankfurt,185,8.87
34.65.235.13,443,443,true,AMS,Europe,Amsterdam,182,8.87
34.107.116.111,443,443,true,FRA,Europe,Frankfurt,241,8.86
34.145.145.76,443,443,true,IAD,North America,Ashburn,331,8.86
34.65.235.63,443,443,true,FRA,Europe,Frankfurt,176,8.84
34.116.158.172,443,443,true,FRA,Europe,Frankfurt,248,8.83
34.90.41.188,443,443,true,FRA,Europe,Frankfurt,184,8.83
34.65.151.47,443,443,true,FRA,Europe,Frankfurt,185,8.83
34.141.107.242,443,443,true,FRA,Europe,Frankfurt,172,8.83
34.122.12.237,443,443,true,ORD,North America,Chicago,271,8.82
34.90.199.90,443,443,true,FRA,Europe,Frankfurt,244,8.82
34.65.244.200,443,443,true,FRA,Europe,Frankfurt,176,8.81
34.90.199.90,443,443,true,FRA,Europe,Frankfurt,176,8.80
34.89.128.165,443,443,true,FRA,Europe,Frankfurt,172,8.79
34.89.190.224,443,443,true,FRA,Europe,Frankfurt,179,8.77
34.85.249.51,443,443,true,IAD,North America,Ashburn,233,8.77
34.65.111.146,443,443,true,FRA,Europe,Frankfurt,179,8.76
34.154.248.246,443,0,true,FRA,Europe,Frankfurt,186,8.75
35.204.211.243,443,443,true,FRA,Europe,Frankfurt,179,8.73
34.118.122.213,443,443,true,AMS,Europe,Amsterdam,190,8.71
34.154.73.4,443,443,true,CDG,Europe,Paris,181,8.70
34.118.78.27,443,443,true,FRA,Europe,Frankfurt,191,8.69
34.118.82.175,443,443,true,FRA,Europe,Frankfurt,194,8.67
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,170,8.63
34.147.53.185,443,443,true,FRA,Europe,Frankfurt,183,8.62
34.65.75.131,443,443,true,FRA,Europe,Frankfurt,176,8.60
34.116.149.184,443,443,true,FRA,Europe,Frankfurt,272,8.59
34.90.29.94,443,443,true,FRA,Europe,Frankfurt,181,8.58
34.85.249.51,443,443,true,IAD,North America,Ashburn,212,8.58
34.91.79.42,443,443,true,AMS,Europe,Amsterdam,178,8.57
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,172,8.55
34.116.242.142,443,443,true,FRA,Europe,Frankfurt,201,8.54
34.65.235.63,443,443,true,FRA,Europe,Frankfurt,175,8.53
34.65.214.126,443,443,true,FRA,Europe,Frankfurt,174,8.53
34.159.252.38,443,443,true,FRA,Europe,Frankfurt,169,8.53
34.65.221.128,443,443,true,AMS,Europe,Amsterdam,175,8.52
34.65.235.13,443,443,true,FRA,Europe,Frankfurt,175,8.52
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,278,8.51
34.141.146.222,443,443,true,AMS,Europe,Amsterdam,179,8.51
35.232.39.116,80,80,false,DFW,North America,Dallas,205,8.50
35.204.98.109,443,443,true,FRA,Europe,Frankfurt,178,8.50
34.65.51.65,443,443,true,FRA,Europe,Frankfurt,175,8.50
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,193,8.49
34.90.199.90,443,443,true,FRA,Europe,Frankfurt,176,8.49
34.65.238.78,443,443,true,FRA,Europe,Frankfurt,169,8.48
34.32.145.169,443,443,true,AMS,Europe,Amsterdam,179,8.47
34.89.190.224,443,443,true,FRA,Europe,Frankfurt,181,8.45
35.190.152.145,443,443,true,ATL,North America,Atlanta,218,8.44
34.89.241.45,443,443,true,FRA,Europe,Frankfurt,164,8.43
34.65.41.218,443,443,true,FRA,Europe,Frankfurt,182,8.43
34.72.146.82,443,443,true,ORD,North America,Chicago,205,8.42
34.34.40.79,443,443,true,FRA,Europe,Frankfurt,181,8.41
34.91.35.109,443,443,true,FRA,Europe,Frankfurt,182,8.41
34.118.11.220,443,443,true,FRA,Europe,Frankfurt,185,8.40
35.204.195.174,443,443,true,FRA,Europe,Frankfurt,175,8.40
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.37
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,178,8.34
34.91.230.226,443,443,true,FRA,Europe,Frankfurt,176,8.33
34.141.191.17,443,443,true,FRA,Europe,Frankfurt,178,8.33
34.116.238.23,443,443,true,FRA,Europe,Frankfurt,256,8.32
34.147.32.107,443,443,true,FRA,Europe,Frankfurt,179,8.32
34.141.149.198,443,443,true,FRA,Europe,Frankfurt,181,8.31
34.65.177.164,443,443,true,FRA,Europe,Frankfurt,174,8.30
34.118.30.198,443,443,true,FRA,Europe,Frankfurt,185,8.30
34.65.170.6,443,443,true,FRA,Europe,Frankfurt,175,8.29
34.118.17.47,443,443,true,AMS,Europe,Amsterdam,196,8.28
34.65.206.244,443,443,true,FRA,Europe,Frankfurt,185,8.27
34.66.72.229,443,443,true,ORD,North America,Chicago,205,8.27
34.116.175.99,443,443,true,FRA,Europe,Frankfurt,258,8.26
34.148.187.247,443,443,true,ATL,North America,Atlanta,278,8.26
34.116.243.135,443,443,true,FRA,Europe,Frankfurt,202,8.23
34.65.13.54,443,443,true,FRA,Europe,Frankfurt,178,8.22
34.90.4.9,443,443,true,FRA,Europe,Frankfurt,179,8.22
34.65.213.159,443,443,true,FRA,Europe,Frankfurt,165,8.21
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,169,8.20
34.107.119.161,443,443,true,FRA,Europe,Frankfurt,209,8.20
34.65.159.16,443,443,true,FRA,Europe,Frankfurt,204,8.18
34.66.72.229,443,443,true,ORD,North America,Chicago,207,8.18
35.234.103.173,443,443,true,FRA,Europe,Frankfurt,171,8.17
34.89.128.165,443,443,true,FRA,Europe,Frankfurt,172,8.16
35.204.20.220,443,443,true,FRA,Europe,Frankfurt,181,8.16
34.65.101.209,443,443,true,AMS,Europe,Amsterdam,179,8.16
34.141.243.16,443,443,true,FRA,Europe,Frankfurt,175,8.16
34.107.68.152,443,443,true,FRA,Europe,Frankfurt,169,8.15
34.65.205.103,443,443,true,FRA,Europe,Frankfurt,179,8.14
34.65.206.244,443,443,true,FRA,Europe,Frankfurt,176,8.14
34.65.78.221,443,443,true,AMS,Europe,Amsterdam,178,8.14
34.65.12.109,443,443,true,FRA,Europe,Frankfurt,188,8.14
34.118.100.32,443,443,true,FRA,Europe,Frankfurt,190,8.12
34.65.51.65,443,443,true,FRA,Europe,Frankfurt,184,8.12
34.65.244.200,443,443,true,AMS,Europe,Amsterdam,174,8.12
34.72.146.82,443,443,true,ORD,North America,Chicago,204,8.12
34.159.126.5,443,0,true,FRA,Europe,Frankfurt,181,8.12
34.90.19.236,443,443,true,FRA,Europe,Frankfurt,178,8.11
35.246.240.3,443,443,true,FRA,Europe,Frankfurt,169,8.10
34.65.204.207,443,443,true,EWR,North America,Newark,192,8.10
34.65.212.101,443,443,true,FRA,Europe,Frankfurt,166,8.09
34.65.118.63,443,443,true,FRA,Europe,Frankfurt,181,8.08
34.90.235.70,443,443,true,FRA,Europe,Frankfurt,182,8.04
34.34.32.175,443,443,true,FRA,Europe,Frankfurt,188,8.03
34.116.219.69,443,443,true,FRA,Europe,Frankfurt,191,8.03
34.116.151.54,443,443,true,FRA,Europe,Frankfurt,239,8.01
34.118.44.17,443,443,true,FRA,Europe,Frankfurt,189,8.00
34.65.253.40,443,443,true,FRA,Europe,Frankfurt,179,7.99
34.154.101.147,443,443,true,FRA,Europe,Frankfurt,181,7.99
34.65.106.214,443,443,true,FRA,Europe,Frankfurt,179,7.98
34.90.246.126,443,443,true,FRA,Europe,Frankfurt,177,7.97
34.65.192.195,443,443,true,FRA,Europe,Frankfurt,178,7.97
35.198.121.122,443,443,true,FRA,Europe,Frankfurt,169,7.95
34.65.204.207,443,443,true,EWR,North America,Newark,174,7.95
34.65.41.218,443,443,true,FRA,Europe,Frankfurt,205,7.95
34.107.68.152,443,443,true,CDG,Europe,Paris,238,7.94
34.65.41.218,443,443,true,FRA,Europe,Frankfurt,180,7.94
34.65.253.40,443,443,true,FRA,Europe,Frankfurt,178,7.93
34.141.220.180,443,443,true,FRA,Europe,Frankfurt,178,7.93
35.242.197.5,443,443,true,AMS,Europe,Amsterdam,212,7.92
34.107.116.111,443,443,true,FRA,Europe,Frankfurt,211,7.91
34.65.52.101,443,443,true,AMS,Europe,Amsterdam,179,7.89
34.89.144.176,443,443,true,FRA,Europe,Frankfurt,170,7.89
34.90.4.9,443,443,true,FRA,Europe,Frankfurt,178,7.88
35.246.158.151,443,0,true,FRA,Europe,Frankfurt,189,7.88
34.141.57.63,443,443,true,FRA,Europe,Frankfurt,184,7.87
34.89.190.224,443,443,true,FRA,Europe,Frankfurt,170,7.86
34.65.89.138,443,443,true,FRA,Europe,Frankfurt,186,7.86
34.91.230.226,443,443,true,FRA,Europe,Frankfurt,187,7.85
34.65.41.218,443,443,true,FRA,Europe,Frankfurt,176,7.84
34.65.62.76,443,443,true,FRA,Europe,Frankfurt,174,7.83
34.65.53.217,443,443,true,FRA,Europe,Frankfurt,185,7.82
34.116.231.238,443,443,true,AMS,Europe,Amsterdam,186,7.82
34.65.212.101,443,443,true,AMS,Europe,Amsterdam,163,7.81
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,204,7.81
34.65.52.101,443,443,true,FRA,Europe,Frankfurt,178,7.79
35.204.24.165,443,443,true,FRA,Europe,Frankfurt,175,7.79
34.65.140.94,443,443,true,FRA,Europe,Frankfurt,188,7.78
34.118.95.31,443,443,true,FRA,Europe,Frankfurt,187,7.78
34.91.71.101,443,443,true,FRA,Europe,Frankfurt,178,7.78
34.65.62.76,443,443,true,FRA,Europe,Frankfurt,177,7.77
34.65.84.132,443,443,true,FRA,Europe,Frankfurt,177,7.76
34.65.75.131,443,443,true,FRA,Europe,Frankfurt,176,7.76
34.116.238.23,443,443,true,FRA,Europe,Frankfurt,186,7.75
34.91.177.185,443,443,true,FRA,Europe,Frankfurt,178,7.75
34.65.159.16,443,443,true,FRA,Europe,Frankfurt,187,7.74
34.107.39.178,443,443,true,AMS,Europe,Amsterdam,224,7.73
34.65.41.222,443,443,true,FRA,Europe,Frankfurt,163,7.73
34.89.223.191,443,443,true,AMS,Europe,Amsterdam,172,7.72
34.65.94.94,443,443,true,AMS,Europe,Amsterdam,179,7.72
34.65.189.135,443,443,true,AMS,Europe,Amsterdam,187,7.70
34.65.75.131,443,443,true,FRA,Europe,Frankfurt,174,7.69
34.107.94.79,443,443,true,FRA,Europe,Frankfurt,170,7.67
35.234.166.80,443,443,true,FRA,Europe,Frankfurt,182,7.66
34.116.231.238,443,443,true,CDG,Europe,Paris,264,7.66
34.90.26.199,443,443,true,FRA,Europe,Frankfurt,161,7.65
34.65.192.195,443,443,true,FRA,Europe,Frankfurt,175,7.62
34.65.203.90,443,443,true,FRA,Europe,Frankfurt,177,7.61
34.65.41.157,443,443,true,FRA,Europe,Frankfurt,166,7.61
34.90.30.195,8080,80,false,AMS,Europe,Amsterdam,164,7.60
34.65.62.172,443,443,true,FRA,Europe,Frankfurt,176,7.58
34.65.198.178,443,443,true,FRA,Europe,Frankfurt,179,7.58
34.65.196.170,443,443,true,AMS,Europe,Amsterdam,179,7.57
34.65.212.101,443,443,true,AMS,Europe,Amsterdam,172,7.55
34.141.37.198,443,443,true,FRA,Europe,Frankfurt,175,7.54
34.65.198.73,443,443,true,FRA,Europe,Frankfurt,165,7.54
34.65.177.164,443,443,true,FRA,Europe,Frankfurt,174,7.54
34.65.177.1,443,443,true,AMS,Europe,Amsterdam,174,7.53
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,163,7.50
34.65.151.47,443,443,true,FRA,Europe,Frankfurt,177,7.49
34.65.239.183,443,443,true,FRA,Europe,Frankfurt,176,7.49
34.118.3.118,443,443,true,FRA,Europe,Frankfurt,189,7.47
34.65.247.160,443,443,true,FRA,Europe,Frankfurt,185,7.47
34.65.204.207,443,443,true,AMS,Europe,Amsterdam,175,7.46
34.34.9.157,443,443,true,FRA,Europe,Frankfurt,181,7.45
34.90.3.83,443,443,true,FRA,Europe,Frankfurt,163,7.43
34.116.205.19,443,443,true,FRA,Europe,Frankfurt,183,7.42
34.65.130.144,443,443,true,FRA,Europe,Frankfurt,176,7.42
34.65.112.113,443,443,true,FRA,Europe,Frankfurt,180,7.41
34.90.26.199,443,443,true,FRA,Europe,Frankfurt,163,7.40
34.34.186.205,443,443,true,CDG,Europe,Paris,230,7.39
34.107.94.79,443,443,true,FRA,Europe,Frankfurt,194,7.38
34.107.116.111,443,443,true,FRA,Europe,Frankfurt,181,7.38
34.32.174.17,443,443,true,FRA,Europe,Frankfurt,164,7.37
34.65.13.54,443,443,true,FRA,Europe,Frankfurt,189,7.34
34.118.17.152,443,443,true,FRA,Europe,Frankfurt,188,7.33
34.89.241.45,443,443,true,FRA,Europe,Frankfurt,179,7.32
34.90.4.9,443,443,true,FRA,Europe,Frankfurt,175,7.32
34.107.119.161,443,443,true,FRA,Europe,Frankfurt,176,7.30
34.154.24.239,443,443,true,FRA,Europe,Frankfurt,172,7.28
34.91.71.101,443,443,true,FRA,Europe,Frankfurt,179,7.25
34.65.79.169,443,443,true,FRA,Europe,Frankfurt,176,7.25
34.116.141.3,443,443,true,FRA,Europe,Frankfurt,256,7.24
34.65.244.68,443,443,true,FRA,Europe,Frankfurt,164,7.24
34.116.239.18,443,443,true,FRA,Europe,Frankfurt,192,7.24
34.90.18.172,443,443,true,AMS,Europe,Amsterdam,178,7.21
34.107.119.161,443,443,true,FRA,Europe,Frankfurt,189,7.18
34.90.41.188,443,443,true,FRA,Europe,Frankfurt,183,7.18
34.65.192.195,443,443,true,FRA,Europe,Frankfurt,175,7.17
34.65.194.209,443,443,true,FRA,Europe,Frankfurt,165,7.16
34.90.18.172,443,443,true,AMS,Europe,Amsterdam,181,7.15
34.65.196.170,443,443,true,FRA,Europe,Frankfurt,176,7.14
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,174,7.13
34.65.18.221,443,443,true,FRA,Europe,Frankfurt,178,7.12
34.65.78.31,443,443,true,FRA,Europe,Frankfurt,212,7.11
34.147.63.51,443,443,true,FRA,Europe,Frankfurt,171,7.11
34.65.238.78,443,443,true,FRA,Europe,Frankfurt,166,7.09
34.116.242.219,443,443,true,FRA,Europe,Frankfurt,190,7.08
34.116.196.218,443,443,true,FRA,Europe,Frankfurt,187,7.04
34.34.186.205,443,443,true,CDG,Europe,Paris,231,7.03
34.107.94.79,443,443,true,FRA,Europe,Frankfurt,218,6.99
34.65.235.13,443,443,true,FRA,Europe,Frankfurt,197,6.98
34.65.62.133,443,443,true,FRA,Europe,Frankfurt,175,6.95
34.65.235.13,443,443,true,FRA,Europe,Frankfurt,177,6.94
34.90.26.199,443,443,true,FRA,Europe,Frankfurt,171,6.93
34.65.70.183,443,443,true,FRA,Europe,Frankfurt,178,6.91
34.65.244.35,443,443,true,FRA,Europe,Frankfurt,177,6.91
34.116.179.241,443,443,true,FRA,Europe,Frankfurt,317,6.83
34.65.193.203,443,443,true,AMS,Europe,Amsterdam,177,6.82
